#pl_name,hostname,label,default_flag,sy_snum,sy_pnum,discoverymethod,tran_flag,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,my_label
K2-113 b,K2-113,,0,1,1,Transit,1,Published Confirmed,0,5.817608,3.1e-05,-2.9e-05,0,0.0558,0.0059,-0.0049,0.0,10.424,1.121,-0.785,0.0,0.93,0.1,-0.07,0.0,410.0007,41.3179,-44.4962,0,1.29,0.13,-0.14,0,Mass,0.0,,,0.0,,,,,1178.0,22.0,-23.0,0.0,0,G,5627.0,88.0,-88.0,0.0,1.05,0.11,-0.08,0.0,1.01,0.04,-0.04,0.0,0.18,0.062,-0.062,0.0,[Fe/H],4.4,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h17m47.85s,19.4493823,+06d52m07.85s,6.8688469,635.722,13.43,-13.43,
KELT-11 b,KELT-11,,0,1,1,Transit,1,Published Confirmed,0,4.736529,6.8e-05,-5.9e-05,0,0.06229,0.00088,-0.00076,0.0,15.356,1.681,-1.345,0.0,1.37,0.15,-0.12,0.0,61.97685,6.03877,-5.72094,0,0.195,0.019,-0.018,0,Mass,0.0,,,0.0,1433.0,176.0,-147.0,0.0,1712.0,51.0,-46.0,0.0,0,,5370.0,51.0,-50.0,0.0,2.72,0.21,-0.17,0.0,1.44,0.06,-0.05,0.0,0.18,0.075,-0.075,0.0,[Fe/H],3.73,0.04,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h46m49.66s,161.7069053,-09d23m57.71s,-9.3993646,99.1596,0.52105,-0.52105,
TrES-2 b,TrES-2,,0,2,1,Transit,1,Published Confirmed,0,2.470621,1.7e-05,-1.7e-05,0,,,,,13.675,0.504,-0.471,0.0,1.22,0.045,-0.042,0.0,380.76034,16.84499,-16.84499,0,1.198,0.053,-0.053,0,Mass,0.0,,,0.0,,,,,,,,,0,,,,,,1.0,0.04,-0.03,0.0,0.98,0.06,-0.06,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h07m14.05s,286.8085258,+49d18m59.12s,49.3164211,215.32,1.05,-1.039,
LTT 3780 b,LTT 3780,,1,2,2,Transit,1,Published Confirmed,0,0.768448,5.5e-05,-5.3e-05,0,0.01211,0.00012,-0.00012,0.0,1.332,0.072,-0.075,0.0,0.119,0.006,-0.007,0.0,2.62,0.48,-0.46,0,0.00824,0.00151,-0.00145,0,Mass,0.0,,,0.0,106.0,22.0,-19.0,0.0,892.0,44.0,-44.0,0.0,0,M4 V,3331.0,157.0,-157.0,0.0,0.37,0.01,-0.01,0.0,0.4,0.01,-0.01,0.0,0.28,0.11,-0.13,0.0,[Fe/H],4.9,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h18m34.78s,154.6449033,-11d43m04.08s,-11.717801,21.9814,0.0403,-0.0402,
KELT-19 A b,KELT-19 A,,1,2,1,Transit,1,Published Confirmed,0,4.6117093,8.8e-06,-8.8e-06,0,0.0637,0.0031,-0.0027,0.0,21.409,1.233,-1.233,0.0,1.91,0.11,-0.11,0.0,1293.5681,,,1,4.07,,,1,Mass,,,,,2340.0,184.0,-184.0,0.0,1935.0,38.0,-38.0,0.0,1,A8 V,7500.0,110.0,-110.0,0.0,1.83,0.1,-0.1,0.0,1.62,0.25,-0.2,0.0,-0.12,0.51,-0.51,0.0,[Fe/H],4.13,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h26m02.29s,111.5095293,+07d36m56.79s,7.6157759,300.276,4.684,-4.544,
WASP-4 b,WASP-4,,0,1,1,Transit,1,Published Confirmed,0,1.3382315,6.1e-07,-6.1e-07,0,0.02329,0.00077,-0.00035,0.0,15.368,0.426,-0.392,0.0,1.371,0.038,-0.035,0.0,409.68287,31.14734,-23.20159,0,1.289,0.098,-0.073,0,Mass,,,,,,,,,1662.0,46.0,-46.0,0.0,0,,5500.0,100.0,-100.0,0.0,0.91,0.02,-0.02,0.0,0.94,0.07,-0.07,0.0,-0.03,0.09,-0.09,0.0,[M/H],4.49,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h34m15.10s,353.5629149,-42d03m42.41s,-42.0617794,267.206,3.771,-3.67,
Kepler-11 g,Kepler-11,,0,1,6,Transit,1,Published Confirmed,0,118.37774,0.00112,-0.00112,0,0.462,0.016,-0.016,0.0,3.66,0.35,-0.35,0.0,0.327,0.031,-0.031,0.0,300.0,,,0,0.944,,,0,Mass,0.0,,,0.0,,,,,,,,,1,,5680.0,100.0,-100.0,0.0,1.1,0.1,-0.1,0.0,0.95,0.1,-0.1,0.0,0.0,0.1,-0.1,0.0,[Fe/H],4.3,0.2,-0.2,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h48m27.62s,297.1150949,+41d54m32.79s,41.9091092,646.346,6.375,-6.375,
TOI-1789 b,TOI-1789,,1,1,1,Transit,1,Published Confirmed,0,3.208664,1.5e-05,-1.5e-05,0,0.04882,0.00063,-0.0016,0.0,16.141,2.69,-1.569,0.0,1.44,0.24,-0.14,0.0,222.47988,50.85255,-50.85255,0,0.7,0.16,-0.16,0,Mass,,,,,2300.0,130.0,-81.0,0.0,1927.0,27.0,-17.0,0.0,0,F,5991.0,55.0,-55.0,0.0,2.17,0.04,-0.03,0.0,1.51,0.06,-0.14,0.0,0.373,0.071,-0.086,0.0,[Fe/H],3.94,0.02,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h30m58.42s,142.743406,+26d32m23.98s,26.5399951,229.067,2.388,-2.34,
K2-98 b,K2-98,,0,1,1,Transit,1,Published Confirmed,0,10.13675,0.00033,-0.00033,0,0.0943,0.0061,-0.0052,0.0,4.3,0.3,-0.2,0.0,0.384,0.027,-0.018,0.0,32.2,8.1,-8.1,0,0.10131,0.02549,-0.02549,0,Mass,0.0,,,0.0,,,,,1102.0,26.0,-20.0,0.0,0,F8 V,6120.0,80.0,-80.0,0.0,1.31,0.08,-0.05,0.0,1.07,0.04,-0.04,0.0,-0.2,0.1,-0.1,0.0,[Fe/H],4.23,0.03,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h25m57.17s,126.4882114,+11d30m39.94s,11.5110933,518.625,11.518,-11.037,
TOI-201 b,TOI-201,,1,1,1,Transit,1,Published Confirmed,0,52.97818,4e-05,-4e-05,0,0.3,0.02,-0.03,0.0,11.299,0.135,-0.168,0.0,1.008,0.012,-0.015,0.0,133.4886,15.8915,-9.5349,0,0.42,0.05,-0.03,0,Mass,0.28,0.06,-0.09,0.0,,,,,759.0,37.0,-26.0,0.0,0,F6 V,6394.0,75.0,-75.0,0.0,1.32,0.01,-0.01,0.0,1.32,0.03,-0.03,0.0,0.24,0.036,-0.036,0.0,[Fe/H],4.32,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h49m36.43s,87.4017825,-54d54m37.52s,-54.910423,113.825,0.347,-0.345,
OGLE-TR-182 b,OGLE-TR-182,,0,1,1,Transit,1,Published Confirmed,0,3.9791,1e-05,-1e-05,0,0.05205,0.00065,-0.00065,0.0,16.477,1.569,-1.569,0.0,1.47,0.14,-0.14,0.0,336.8998,47.6745,-47.6745,0,1.06,0.15,-0.15,0,Mass,,,,,,,,,1550.0,81.0,-81.0,0.0,0,,5924.0,64.0,-64.0,0.0,1.53,0.17,-0.17,0.0,1.19,0.04,-0.04,0.0,0.37,0.08,-0.08,0.0,[Fe/H],4.14,0.09,-0.09,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h09m18.70s,167.3279228,-61d05m42.94s,-61.0952624,2501.75,399.855,-399.855,
WASP-17 b,WASP-17,,0,1,1,Transit,1,Published Confirmed,0,3.73,,,0,,,,,21.185,,,0.0,1.89,,,0.0,162.0933,,,0,0.51,,,0,Mass,,,,,,,,,1740.0,,,0.0,0,,6548.0,138.2,-142.29,0.0,1.57,0.08,-0.09,0.0,1.35,0.27,-0.16,0.0,-0.07,0.1,-0.1,0.0,[M/H],4.18,0.07,-0.12,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h59m50.94s,239.9622479,-28d03m42.46s,-28.0617941,405.908,8.779,-8.421,
Kepler-20 c,Kepler-20,,0,2,6,Transit,1,Published Confirmed,0,10.854092,1.3e-05,-1.3e-05,0,0.093,0.0011,-0.0011,0.0,3.07,0.2,-0.31,0.0,0.274,0.018,-0.028,0.0,16.1,3.3,-3.7,0,0.051,0.01,-0.012,0,Mass,0.4,,,1.0,,,,,713.0,,,0.0,0,,5455.0,100.0,-100.0,0.0,0.94,0.06,-0.1,0.0,0.91,0.03,-0.03,-1.0,0.01,0.04,-0.04,0.0,[Fe/H],4.4,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,282.563,1.776,-1.753,
WASP-82 b,WASP-82,,1,1,1,Transit,1,Published Confirmed,0,2.70579,2e-06,-2e-06,0,,,,,18.159,1.457,-1.457,0.0,1.62,0.13,-0.13,0.0,371.8611,63.566,-63.566,0,1.17,0.2,-0.2,0,Mass,0.0,,,0.0,,,,,,,,,0,,6480.0,90.0,-90.0,0.0,2.1,0.16,-0.16,0.0,1.48,0.37,-0.37,0.0,0.12,,,0.0,[Fe/H],3.96,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h50m38.54s,72.6605916,+01d53m37.81s,1.8938365,275.664,3.122,-3.055,
GJ 3929 b,GJ 3929,,0,1,2,Transit,1,Published Confirmed,0,2.6162745,2.9e-06,-3e-06,0,0.02569,0.00088,-0.00088,0.0,1.15,0.04,-0.039,0.0,0.103,0.004,-0.003,0.0,1.21,0.4,-0.42,0,0.00381,0.00126,-0.00132,0,Mass,,,,,17.5,1.3,-1.2,0.0,569.0,9.0,-9.0,0.0,0,M3.5 V,3369.0,51.0,-51.0,0.0,0.32,0.01,-0.01,0.0,0.31,0.01,-0.01,0.0,0.0,0.16,-0.16,0.0,[Fe/H],4.84,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h58m18.62s,239.5775678,+35d24m29.21s,35.4081141,15.8095,0.0096,-0.0095,
HD 152843 b,HD 152843,,1,1,2,Transit,1,Published Confirmed,0,11.6264,0.0022,-0.0025,0,0.1053,0.003,-0.0031,0.0,3.41,0.14,-0.12,0.0,0.304,0.012,-0.011,0.0,11.56,6.58,-6.14,0,0.03637,0.0207,-0.01932,0,Mass,0.14,0.25,-0.1,0.0,255.7,21.6,-19.7,0.0,,,,,0,G0,6310.0,100.0,-100.0,0.0,1.43,0.02,-0.02,0.0,1.15,0.04,-0.04,0.0,-0.16,0.05,-0.05,0.0,[Fe/H],4.19,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h55m08.37s,253.7848853,+20d29m29.49s,20.491524,107.898,0.318,-0.316,
WASP-41 b,WASP-41,,0,1,2,Transit,1,Published Confirmed,0,3.052404,9e-07,-9e-07,0,0.04,0.001,-0.001,0.0,13.227,0.336,-0.336,0.0,1.18,0.03,-0.03,0.0,298.7602,15.8915,-15.8915,0,0.94,0.05,-0.05,0,Mass,0.026,,,1.0,,,,,1244.0,10.0,-10.0,0.0,0,,5545.0,33.0,-33.0,0.0,0.87,0.03,-0.03,0.0,0.93,0.07,-0.07,0.0,0.06,0.02,-0.02,0.0,[Fe/H],4.53,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h42m28.51s,190.6188034,-30d38m23.34s,-30.6398176,163.371,1.067,-1.052,
Kepler-245 c,Kepler-245,,0,1,4,Transit,1,Published Confirmed,0,17.461,,,0,,,,,2.38,1.01,-0.27,0.0,0.212,0.09,-0.024,0.0,225.6,61.3,-36.5,0,0.71,0.193,-0.115,0,Mass,,,,,,,,,,,,,1,,,,,,0.87,,,0.0,0.8,,,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h26m33.36s,291.6389972,+42d26m10.85s,42.4363482,861.527,26.041,-24.582,
WASP-77 A b,WASP-77 A,,1,2,1,Transit,1,Published Confirmed,0,1.36002854,6.2e-07,-6.2e-07,0,0.02335,0.00045,-0.00043,0.0,13.787,0.347,-0.325,0.0,1.23,0.031,-0.029,0.0,529.81995,21.61233,-20.34102,0,1.667,0.068,-0.064,0,Mass,0.0074,0.0069,-0.0049,0.0,1440.0,90.0,-80.0,0.0,1715.0,26.0,-25.0,0.0,0,,5617.0,72.0,-72.0,0.0,0.91,0.03,-0.02,0.0,0.9,0.07,-0.06,0.0,-0.1,0.1,-0.11,0.0,[Fe/H],4.48,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h28m37.33s,37.1555223,-07d03m38.40s,-7.0606675,105.166,1.209,-1.182,
HATS-62 b,HATS-62,,1,1,1,Transit,1,Published Confirmed,0,3.2768837,3.3e-06,-3.3e-06,0,0.04163,0.00024,-0.00016,0.0,11.825,0.28,-0.28,0.0,1.055,0.025,-0.025,0.0,56.89157,,,0,0.179,,,0,Mass,0.298,,,0.0,387.4,17.3,-12.3,0.0,1237.0,12.0,-12.0,0.0,0,,5416.0,19.0,-13.0,0.0,0.93,0.02,-0.01,0.0,0.9,0.01,-0.01,0.0,0.133,0.023,-0.023,0.0,[Fe/H],4.45,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h49m47.83s,312.4493079,-24d18m12.62s,-24.303506,523.067,10.426,-10.033,
K2-285 d,K2-285,,1,1,4,Transit,1,Published Confirmed,0,10.45582,0.00025,-0.00023,0,0.1178,0.0029,-0.0029,0.0,2.48,0.06,-0.06,0.0,0.221,0.005,-0.005,0.0,6.5,,,1,0.02045,,,1,Mass,0.0,,,0.0,24.61,2.07,-1.93,0.0,620.0,13.0,-12.0,0.0,0,K2 V,4975.0,95.0,-95.0,0.0,0.79,0.02,-0.02,0.0,0.83,0.02,-0.02,0.0,0.0,0.05,-0.05,0.0,[Fe/H],4.4,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h17m32.24s,349.3843458,+01d18m00.55s,1.3001522,154.961,1.161,-1.144,
WASP-44 b,WASP-44,,1,1,1,Transit,1,Published Confirmed,0,2.423804,8e-06,-8e-06,0,0.03453,0.00065,-0.00065,0.0,12.33,0.908,-0.852,0.0,1.1,0.081,-0.076,0.0,276.5121,20.02329,-19.70546,0,0.87,0.063,-0.062,0,Mass,,,,,533.0,72.0,-64.0,0.0,1337.0,43.0,-42.0,0.0,0,G8 V,5420.0,100.0,-100.0,0.0,0.91,0.05,-0.05,0.0,0.94,0.05,-0.05,0.0,-0.003,0.1,-0.1,0.0,[Fe/H],4.49,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h15m36.79s,3.9032733,-11d56m17.75s,-11.9382645,364.512,5.656,-5.49,
HAT-P-1 b,HAT-P-1,,0,2,1,Transit,1,Published Confirmed,0,4.4652934,,,0,0.0551,0.0015,-0.0015,0.0,,,,,,,,,169.72122,15.25584,-15.25584,0,0.534,0.048,-0.048,0,Msini,0.0,,,0.0,,,,,,,,,0,G0 V,6067.0,,,0.0,1.15,0.09,-0.09,0.0,1.12,0.09,-0.09,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h57m46.89s,344.4453632,+38d40m29.71s,38.674919,158.979,0.977,-0.965,
HAT-P-13 b,HAT-P-13,,1,1,2,Transit,1,Published Confirmed,0,2.91625,1.5e-05,-1.5e-05,0,,,,,14.258,0.729,-0.729,0.0,1.272,0.065,-0.065,0.0,270.462,12.077,-12.077,0,0.851,0.038,-0.038,0,Mass,0.0133,0.0041,-0.0041,0.0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h39m31.77s,129.8823772,+47d21m06.87s,47.3519076,246.81,2.228,-2.188,
HAT-P-50 b,HAT-P-50,,0,1,1,Transit,1,Published Confirmed,0,3.1220109,6.5e-06,-6.5e-06,0,0.04527,0.00058,-0.0015,0.0,14.437,0.717,-0.717,0.0,1.288,0.064,-0.064,0.0,431.93097,22.2481,-27.33338,0,1.359,0.07,-0.086,0,Mass,0.084,,,1.0,,,,,,,,,0,,6280.0,49.0,-49.0,0.0,1.7,0.07,-0.07,0.0,1.27,0.05,-0.12,0.0,-0.18,0.08,-0.08,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h52m15.23s,118.0634379,+12d08m21.65s,12.1393474,515.458,16.696,-15.697,
Kepler-128 c,Kepler-128,,0,1,2,Transit,1,Published Confirmed,0,22.801,,,0,,,,,1.13,0.03,-0.03,0.0,0.101,0.003,-0.003,0.0,37.0,37.2,-25.8,0,0.116,0.117,-0.081,0,Mass,,,,,,,,,,,,,1,,,,,,1.66,,,0.0,1.18,,,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h49m58.14s,282.4922622,+43d58m48.88s,43.9802442,396.379,3.947,-3.872,
WASP-163 b,WASP-163,,1,1,1,Transit,1,Published Confirmed,0,1.6096884,1.5e-06,-1.5e-06,0,0.0266,0.0014,-0.0014,0.0,13.473,1.087,-1.087,0.0,1.202,0.097,-0.097,0.0,594.3421,66.7443,-66.7443,0,1.87,0.21,-0.21,0,Mass,,,,,1200.0,330.0,-330.0,0.0,1638.0,68.0,-68.0,0.0,0,,5500.0,200.0,-200.0,0.0,1.01,0.07,-0.07,0.0,0.97,0.15,-0.15,0.0,-0.34,0.21,-0.21,0.0,[Fe/H],4.41,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h06m09.01s,256.5375549,-10d24m46.83s,-10.4130071,261.386,3.663,-3.564,
CoRoT-7 b,CoRoT-7,,0,1,3,Transit,1,Published Confirmed,0,0.85359159,5.7e-07,-5.7e-07,0,0.017016,0.00017,-3.6e-05,0.0,1.585,0.064,-0.064,0.0,0.141,0.006,-0.006,0.0,5.74,0.86,-0.86,0,0.018,0.003,-0.003,0,Mass,0.0,,,0.0,,,,,1756.0,27.0,-27.0,0.0,0,,5259.0,58.0,-58.0,0.0,0.82,0.02,-0.02,0.0,0.91,0.02,-0.02,0.0,0.138,0.061,-0.061,0.0,[Fe/H],4.57,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h43m49.48s,100.9561682,-01d03m46.83s,-1.0630076,159.906,0.917,-0.906,
WASP-3 b,WASP-3,,0,3,1,Transit,1,Published Confirmed,0,1.8468351,4e-07,-4e-07,0,0.03182,0.0008,-0.00085,0.0,15.872,0.527,-0.527,0.0,1.416,0.047,-0.047,0.0,600.6987,38.1396,-38.1396,0,1.89,0.12,-0.12,0,Mass,0.0058,,,1.0,,,,,,,,,0,,6400.0,100.0,-100.0,0.0,1.37,0.04,-0.04,0.0,1.26,0.1,-0.1,0.0,0.0,0.2,-0.2,0.0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h34m31.62s,278.6317411,+35d39m41.15s,35.6614312,231.161,1.648,-1.625,
OGLE-TR-211 b,OGLE-TR-211,,1,1,1,Transit,1,Published Confirmed,0,3.67724,3e-05,-3e-05,0,0.051,0.001,-0.001,0.0,15.244,2.018,-1.009,0.0,1.36,0.18,-0.09,0.0,327.351,63.563,-63.563,0,1.03,0.2,-0.2,0,Mass,0.0,,,0.0,,,,,,,,,0,,6325.0,91.0,,0.0,1.64,0.21,,0.0,1.33,0.05,,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h40m14.36s,160.0598236,-62d27m19.93s,-62.4555353,1515.26,109.825,-109.825,
HAT-P-54 b,HAT-P-54,,1,1,1,Transit,1,Published Confirmed,0,3.799847,1.4e-05,-1.4e-05,0,0.04117,0.00043,-0.00043,0.0,10.581,0.314,-0.314,0.0,0.944,0.028,-0.028,0.0,241.5508,10.17056,-10.17056,0,0.76,0.032,-0.032,0,Mass,0.074,,,1.0,,,,,818.0,12.0,-12.0,0.0,0,,4390.0,50.0,-50.0,0.0,0.62,0.01,-0.01,0.0,0.65,0.02,-0.02,0.0,-0.127,0.08,-0.08,0.0,[Fe/H],4.67,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h39m35.52s,99.8979924,+25d28m56.64s,25.4824005,143.651,0.583,-0.579,
Kepler-136 b,Kepler-136,,0,2,2,Transit,1,Published Confirmed,0,11.579,,,0,,,,,1.8,0.35,-0.17,0.0,0.161,0.031,-0.015,0.0,19.8,11.7,-10.4,0,0.062,0.037,-0.033,0,Mass,,,,,,,,,,,,,1,,,,,,1.19,,,0.0,1.17,,,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h45m52.15s,296.4673039,+42d35m55.67s,42.5987984,420.818,4.389,-4.3,
Kepler-145 c,Kepler-145,,1,1,2,Transit,1,Published Confirmed,0,42.882,,,0,,,,,4.32,0.12,-0.12,0.0,0.385,0.011,-0.011,0.0,79.4,16.4,-16.4,0,0.25,0.052,-0.052,0,Mass,,,,,,,,,,,,,1,,,,,,1.85,0.05,-0.05,0.0,1.32,0.1,-0.1,0.0,,,,,,4.02,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h25m33.06s,291.3877397,+44d31m44.57s,44.5290465,566.85,8.385,-8.148,
Kepler-12 b,Kepler-12,,1,1,1,Transit,1,Published Confirmed,0,4.4379629,6e-07,-6e-07,0,0.0553,0.001,-0.0012,0.0,19.661,0.347,-0.404,0.0,1.754,0.031,-0.036,0.0,137.30256,16.84499,-16.20933,0,0.432,0.053,-0.051,0,Mass,,,,,,,,,1480.0,30.0,-30.0,0.0,0,,5947.0,100.0,-100.0,0.0,1.48,0.03,-0.03,0.0,1.17,0.05,-0.05,0.0,0.07,0.04,-0.04,0.0,[Fe/H],4.17,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h04m58.43s,286.2434458,+50d02m25.32s,50.0403671,881.386,9.854,-9.643,
XO-2 N b,XO-2 N,,0,2,3,Transit,1,Published Confirmed,0,2.615864,1.6e-06,-1.6e-06,0,0.0368,0.0004,-0.0004,0.0,11.164,0.347,-0.202,0.0,0.996,0.031,-0.018,0.0,179.566,17.162,-17.162,0,0.565,0.054,-0.054,0,Mass,,,,,,,,,,,,,0,,,,,,0.98,0.02,,0.0,0.97,0.03,,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h48m06.42s,117.0267691,+50d13m30.53s,50.2251472,154.273,1.459,-1.433,
Kepler-435 b,Kepler-435,,1,1,1,Transit,1,Published Confirmed,0,8.6001536,1.8e-06,-1.8e-06,0,0.0948,0.0018,-0.0018,0.0,22.31,2.02,-2.02,0.0,1.99,0.18,-0.18,0.0,266.97,47.67,-47.67,0,0.84,0.15,-0.15,0,Mass,0.114,0.077,-0.077,0.0,,,,,1729.0,70.0,-70.0,0.0,0,,6161.0,94.0,-94.0,0.0,3.21,0.3,-0.3,0.0,1.54,0.09,-0.09,0.0,-0.18,0.11,-0.11,0.0,[Fe/H],3.61,0.05,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h29m08.95s,292.2873012,+43d11m50.12s,43.1972542,1418.77,35.37,-35.37,
