#pl_name,hostname,label,default_flag,sy_snum,sy_pnum,discoverymethod,tran_flag,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,my_label
WASP-34 b,WASP-34,,0,1,1,Transit,1,Published Confirmed,0,4.3176782,4.5e-06,-4.5e-06,0,0.0521,0.0012,-0.0012,0.0,13.675,1.233,-0.897,0.0,1.22,0.11,-0.08,0.0,185.29489,9.5349,-9.85273,0,0.583,0.03,-0.031,0,Mass,0.025,,,1.0,,,,,,,,,0,,5700.0,100.0,-100.0,0.0,0.93,0.12,-0.12,0.0,1.01,0.07,-0.07,0.0,-0.02,0.1,-0.1,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h01m35.85s,165.3993679,-23d51m39.40s,-23.8609457,132.096,0.857,-0.846,
CoRoT-35 b,CoRoT-35,,1,1,1,Transit,1,Published Confirmed,0,3.22748,8e-05,-8e-05,0,0.0429,0.00092,-0.00092,0.0,18.831,1.233,-1.233,0.0,1.68,0.11,-0.11,0.0,349.61125,117.59651,-117.59651,0,1.1,0.37,-0.37,0,Mass,0.0,,,0.0,,,,,1747.0,62.0,-62.0,0.0,1,F6 V,6390.0,130.0,-130.0,0.0,1.65,0.1,-0.11,0.0,1.01,0.07,-0.06,0.0,-0.5,0.1,-0.1,0.0,[Fe/H],4.01,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h17m15.44s,289.3143526,-02d46m28.95s,-2.7747085,1123.21,55.9,-50.92,
K2-19 d,K2-19,,1,1,3,Transit,1,Published Confirmed,0,2.5081,0.0002,-0.0002,0,,,,,1.11,0.05,-0.05,0.0,0.099,0.004,-0.004,0.0,10.0,,,1,0.03146,,,1,Mass,,,,,,,,,,,,,1,,5322.0,100.0,-100.0,0.0,0.82,0.03,-0.03,0.0,0.88,0.03,-0.03,0.0,0.06,0.05,-0.05,0.0,[Fe/H],4.51,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h39m50.46s,174.9602543,+00d36m12.95s,0.603596,289.827,5.68,-5.469,
Kepler-7 b,Kepler-7,,1,1,1,Transit,1,Published Confirmed,0,4.8854892,9e-07,-9e-07,0,0.06067,0.00059,-0.00059,0.0,18.181,0.146,-0.146,0.0,1.622,0.013,-0.013,0.0,140.16303,13.66669,-13.34886,0,0.441,0.043,-0.042,0,Mass,,,,,,,,,1630.0,10.0,-10.0,0.0,0,,5933.0,44.0,-44.0,0.0,1.97,0.01,-0.01,0.0,1.36,0.03,-0.03,0.0,0.11,0.03,-0.03,0.0,[Fe/H],3.98,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h14m19.56s,288.5814928,+41d05m23.04s,41.0897335,922.562,20.605,-19.739,
Kepler-51 b,Kepler-51,,0,1,3,Transit,1,Published Confirmed,0,45.155,,,0,,,,,8.6,1.7,-1.5,0.0,0.767,0.152,-0.134,0.0,2.3,1.7,-1.6,0,0.00724,0.00535,-0.00503,0,Mass,,,,,,,,,,,,,1,,,,,,,,,,1.1,0.1,-0.1,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h45m55.14s,296.4797624,+49d56m15.53s,49.9376486,783.831,13.669,-13.218,
Kepler-78 b,Kepler-78,,0,2,1,Transit,1,Published Confirmed,0,0.355,,,0,,,,,1.228,0.018,-0.019,0.0,0.11,0.002,-0.002,0.0,1.77,0.24,-0.25,0,0.00557,0.00076,-0.00079,0,Mass,,,,,,,,,,,,,0,,5121.0,44.0,-44.0,0.0,0.75,0.01,-0.01,0.0,0.78,0.03,-0.05,0.0,-0.08,0.04,-0.04,0.0,[Fe/H],4.61,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h34m58.07s,293.7419543,+44d26m53.71s,44.4482521,124.376,0.33,-0.329,
KOI-1599.02,KOI-1599,,1,1,2,Transit,1,Published Confirmed,0,13.6088,0.0006,-0.0006,0,0.112293,,,0.0,1.9,0.2,-0.2,0.0,0.17,0.018,-0.018,0.0,9.0,0.3,-0.3,0,0.02832,0.00094,-0.00094,0,Mass,0.0114,,,0.0,,,,,,,,,1,,,,,,0.97,,,0.0,1.02,,,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h53m29.72s,298.3738383,+40d37m06.41s,40.6184483,1131.64,28.17,-26.86,
Kepler-53 b,Kepler-53,,1,1,3,Transit,1,Published Confirmed,0,18.6489525,0.00016,-0.00016,0,,,,,2.89,,,0.0,0.258,,,0.0,111.0,,,1,0.34925,,,1,Mass,,,,,,,,,,,,,1,,5858.0,,,0.0,0.89,,,0.0,0.98,,,0.0,,,,,,4.53,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h21m50.83s,290.4617926,+40d33m44.99s,40.5624966,1366.07,65.81,-60.13,
TOI-776 b,TOI-776,,1,1,2,Transit,1,Published Confirmed,0,8.24661,5e-05,-4e-05,0,0.0652,0.0015,-0.0015,0.0,1.85,0.13,-0.13,0.0,0.165,0.012,-0.012,0.0,4.0,0.9,-0.9,0,0.01259,0.00283,-0.00283,0,Mass,0.06,0.03,-0.02,0.0,11.5,0.6,-0.6,0.0,514.0,17.0,-17.0,0.0,0,M1 V,3709.0,70.0,-70.0,0.0,0.54,0.02,-0.02,0.0,0.54,0.03,-0.03,0.0,-0.2,0.12,-0.12,0.0,[Fe/H],4.73,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h54m18.72s,178.577997,-37d33m12.08s,-37.5533568,27.1701,0.03205,-0.03205,
Kepler-57 b,Kepler-57,,1,1,2,Transit,1,Published Confirmed,0,5.7293196,1.8e-05,-1.8e-05,0,,,,,2.19,,,0.0,0.195,,,0.0,115.0,,,1,0.36183,,,1,Mass,,,,,,,,,,,,,1,,5145.0,,,0.0,0.73,,,0.0,0.83,,,0.0,,,,,,4.63,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h34m33.92s,293.6413146,+44d39m25.45s,44.6570692,644.14,8.6285,-8.6285,
